triplet_id,source_query_id,doc_id,pair_type,query_type,negative_type,negative_score,negative_source_doc_id,negative_source_pair_id,score_sim_query,score_sim_bundle,score_sim_span,score_sim_bridge
l1_de_1903.08136_0007_triplet,l1_de_1903.08136_0007,1903.08136,figure+table,discrepancy_analysis,in_doc_swap,0.2647,1903.08136,,,,,
l1_de_1903.08136_0007_triplet,l1_de_1903.08136_0007,1903.08136,figure+table,discrepancy_analysis,same_type_hard_plus,0.1912,1804.09301,1804.09301_xl_0060,0.1176,0.236,0.0,0.1
l1_de_1903.08136_0008_triplet,l1_de_1903.08136_0008,1903.08136,figure+table,causal_explanation,in_doc_swap,0.3438,1903.08136,,,,,
l1_de_1903.08136_0008_triplet,l1_de_1903.08136_0008,1903.08136,figure+table,causal_explanation,same_type_hard_plus,0.2187,2109.03952,2109.03952_xl_0161,0.1515,0.219,0.069,0.0976
l1_de_1903.08136_0009_triplet,l1_de_1903.08136_0009,1903.08136,figure+table,discrepancy_analysis,in_doc_swap,0.2647,1903.08136,,,,,
l1_de_1903.08136_0009_triplet,l1_de_1903.08136_0009,1903.08136,figure+table,discrepancy_analysis,same_type_hard_plus,0.2196,1902.03519,1902.03519_xl_0084,0.1212,0.2308,0.12,0.1316
l1_de_1903.08136_0010_triplet,l1_de_1903.08136_0010,1903.08136,figure+table,causal_explanation,in_doc_swap,0.2647,1903.08136,,,,,
l1_de_1903.08136_0010_triplet,l1_de_1903.08136_0010,1903.08136,figure+table,causal_explanation,same_type_hard_plus,0.2369,1409.0575,1409.0575_xl_0003,0.2414,0.1887,0.0,0.0
l1_de_1903.08136_0011_triplet,l1_de_1903.08136_0011,1903.08136,figure+table,discrepancy_analysis,in_doc_swap,0.2647,1903.08136,,,,,
l1_de_1903.08136_0011_triplet,l1_de_1903.08136_0011,1903.08136,figure+table,discrepancy_analysis,same_type_hard_plus,0.2317,1409.0575,1409.0575_xl_0003,0.2258,0.1905,0.0,0.0256
l1_de_1903.10561_0012_triplet,l1_de_1903.10561_0012,1903.10561,figure+table,causal_explanation,in_doc_swap,0.3462,1903.10561,,,,,
l1_de_1903.10561_0012_triplet,l1_de_1903.10561_0012,1903.10561,figure+table,causal_explanation,same_type_hard_plus,0.1731,2005.07293,2005.07293_xl_0123,0.0857,0.3051,0.0,0.1515
l1_de_1903.10561_0013_triplet,l1_de_1903.10561_0013,1903.10561,figure+table,hypothesis_verification,in_doc_swap,0.2581,1903.10561,,,,,
l1_de_1903.10561_0013_triplet,l1_de_1903.10561_0013,1903.10561,figure+table,hypothesis_verification,same_type_hard_plus,0.1803,1809.02208,1809.02208_xl_0073,0.1429,0.1538,0.0833,0.0541
l1_de_1905.10674_0014_triplet,l1_de_1905.10674_0014,1905.10674,figure+table,causal_explanation,in_doc_swap,0.3571,1905.10674,,,,,
l1_de_1905.10674_0014_triplet,l1_de_1905.10674_0014,1905.10674,figure+table,causal_explanation,same_type_hard_plus,0.236,1810.08683,1810.08683_xl_0082,0.1765,0.2136,0.0833,0.1053
l1_de_1905.10674_0015_triplet,l1_de_1905.10674_0015,1905.10674,figure+table,discrepancy_analysis,in_doc_swap,0.375,1905.10674,,,,,
l1_de_1905.10674_0015_triplet,l1_de_1905.10674_0015,1905.10674,figure+table,discrepancy_analysis,same_type_hard_plus,0.2031,1707.09457,1707.09457_xl_0028,0.1143,0.2588,0.04,0.1143
l1_de_1905.10674_0016_triplet,l1_de_1905.10674_0016,1905.10674,figure+table,causal_explanation,in_doc_swap,0.375,1905.10674,,,,,
l1_de_1905.10674_0016_triplet,l1_de_1905.10674_0016,1905.10674,figure+table,causal_explanation,same_type_hard_plus,0.2687,1810.08683,1810.08683_xl_0082,0.2353,0.2245,0.087,0.1053
l1_de_1905.10674_0017_triplet,l1_de_1905.10674_0017,1905.10674,figure+table,discrepancy_analysis,in_doc_swap,0.375,1905.10674,,,,,
l1_de_1905.10674_0017_triplet,l1_de_1905.10674_0017,1905.10674,figure+table,discrepancy_analysis,same_type_hard_plus,0.2258,1808.08166,1808.08166_xl_0068,0.1724,0.2192,0.0556,0.0857
l1_de_1905.10674_0018_triplet,l1_de_1905.10674_0018,1905.10674,figure+table,causal_explanation,in_doc_swap,0.4412,1905.10674,,,,,
l1_de_1905.10674_0018_triplet,l1_de_1905.10674_0018,1905.10674,figure+table,causal_explanation,same_type_hard_plus,0.2193,1808.08166,1808.08166_xl_0068,0.1471,0.225,0.125,0.0
l1_de_1905.10674_0019_triplet,l1_de_1905.10674_0019,1905.10674,figure+table,discrepancy_analysis,in_doc_swap,0.4412,1905.10674,,,,,
l1_de_1905.10674_0019_triplet,l1_de_1905.10674_0019,1905.10674,figure+table,discrepancy_analysis,same_type_hard_plus,0.1775,2005.07293,2005.07293_xl_0121,0.0833,0.2427,0.0,0.1311
l1_de_1910.10872_0020_triplet,l1_de_1910.10872_0020,1910.10872,figure+table,discrepancy_analysis,in_doc_swap,0.2927,1910.10872,,,,,
l1_de_1910.10872_0020_triplet,l1_de_1910.10872_0020,1910.10872,figure+table,discrepancy_analysis,same_type_hard_plus,0.2231,1409.0575,1409.0575_xl_0005,0.2121,0.1651,0.0,0.04
l1_de_1910.10872_0021_triplet,l1_de_1910.10872_0021,1910.10872,figure+table,causal_explanation,in_doc_swap,0.2927,1910.10872,,,,,
l1_de_1910.10872_0021_triplet,l1_de_1910.10872_0021,1910.10872,figure+table,causal_explanation,same_type_hard_plus,0.1938,1809.02208,1809.02208_xl_0072,0.129,0.2299,0.0,0.0645
l1_de_1910.10872_0022_triplet,l1_de_1910.10872_0022,1910.10872,figure+table,discrepancy_analysis,in_doc_swap,0.2927,1910.10872,,,,,
l1_de_1910.10872_0022_triplet,l1_de_1910.10872_0022,1910.10872,figure+table,discrepancy_analysis,same_type_hard_plus,0.1997,1409.0575,1409.0575_xl_0003,0.1765,0.1682,0.0,0.0
l1_de_1910.10872_0023_triplet,l1_de_1910.10872_0023,1910.10872,figure+table,causal_explanation,in_doc_swap,0.1702,1910.10872,,,,,
l1_de_1910.10872_0023_triplet,l1_de_1910.10872_0023,1910.10872,figure+table,causal_explanation,same_type_hard_plus,0.216,2103.11320,2103.11320_xl_0129,0.1724,0.1792,0.0417,0.0952
l1_de_1910.10872_0024_triplet,l1_de_1910.10872_0024,1910.10872,figure+table,causal_explanation,in_doc_swap,0.35,1910.10872,,,,,
l1_de_1910.10872_0024_triplet,l1_de_1910.10872_0024,1910.10872,figure+table,causal_explanation,same_type_hard_plus,0.2187,1707.09457,1707.09457_xl_0028,0.1667,0.241,0.0,0.1081
l1_de_1910.10872_0025_triplet,l1_de_1910.10872_0025,1910.10872,figure+table,discrepancy_analysis,in_doc_swap,0.1731,1910.10872,,,,,
l1_de_1910.10872_0025_triplet,l1_de_1910.10872_0025,1910.10872,figure+table,discrepancy_analysis,same_type_hard_plus,0.2548,1804.06876,1804.06876_xl_0058,0.1875,0.2376,0.15,0.0714
l1_de_2005.07293_0026_triplet,l1_de_2005.07293_0026,2005.07293,figure+table,discrepancy_analysis,in_doc_swap,0.3023,2005.07293,,,,,
l1_de_2005.07293_0026_triplet,l1_de_2005.07293_0026,2005.07293,figure+table,discrepancy_analysis,same_type_hard_plus,0.2331,1801.04385,1801.04385_xl_0030,0.1765,0.2439,0.0435,0.1042
l1_de_2005.07293_0027_triplet,l1_de_2005.07293_0027,2005.07293,figure+table,causal_explanation,in_doc_swap,0.3023,2005.07293,,,,,
l1_de_2005.07293_0027_triplet,l1_de_2005.07293_0027,2005.07293,figure+table,causal_explanation,same_type_hard_plus,0.1927,2103.11320,2103.11320_xl_0143,0.1111,0.2095,0.0741,0.06
l1_de_2005.07293_0028_triplet,l1_de_2005.07293_0028,2005.07293,figure+table,causal_explanation,in_doc_swap,0.3023,2005.07293,,,,,
l1_de_2005.07293_0028_triplet,l1_de_2005.07293_0028,2005.07293,figure+table,causal_explanation,same_type_hard_plus,0.2118,2103.11320,2103.11320_xl_0131,0.1562,0.2069,0.0588,0.0444
l1_de_2005.07293_0029_triplet,l1_de_2005.07293_0029,2005.07293,figure+table,discrepancy_analysis,in_doc_swap,0.3023,2005.07293,,,,,
l1_de_2005.07293_0029_triplet,l1_de_2005.07293_0029,2005.07293,figure+table,discrepancy_analysis,same_type_hard_plus,0.2421,2103.11320,2103.11320_xl_0143,0.2308,0.2069,0.0,0.0816
l1_de_2103.11320_0030_triplet,l1_de_2103.11320_0030,2103.11320,figure+table,discrepancy_analysis,in_doc_swap,0.4706,2103.11320,,,,,
l1_de_2103.11320_0030_triplet,l1_de_2103.11320_0030,2103.11320,figure+table,discrepancy_analysis,same_type_hard_plus,0.2387,1804.06876,1804.06876_xl_0057,0.2222,0.1875,0.0345,0.0556
l1_de_2103.11320_0031_triplet,l1_de_2103.11320_0031,2103.11320,figure+table,hypothesis_verification,in_doc_swap,0.4706,2103.11320,,,,,
l1_de_2103.11320_0031_triplet,l1_de_2103.11320_0031,2103.11320,figure+table,hypothesis_verification,same_type_hard_plus,0.1935,1805.11202,1805.11202_xl_0064,0.1053,0.2206,0.08,0.0606
l1_de_2103.11320_0032_triplet,l1_de_2103.11320_0032,2103.11320,figure+table,discrepancy_analysis,in_doc_swap,0.4706,2103.11320,,,,,
l1_de_2103.11320_0032_triplet,l1_de_2103.11320_0032,2103.11320,figure+table,discrepancy_analysis,same_type_hard_plus,0.2243,1804.06876,1804.06876_xl_0057,0.1818,0.1979,0.0417,0.069
l1_de_2103.11320_0033_triplet,l1_de_2103.11320_0033,2103.11320,figure+table,causal_explanation,in_doc_swap,0.4706,2103.11320,,,,,
l1_de_2103.11320_0033_triplet,l1_de_2103.11320_0033,2103.11320,figure+table,causal_explanation,same_type_hard_plus,0.2031,2005.07293,2005.07293_xl_0111,0.1515,0.1789,0.0323,0.08
l1_de_2103.11320_0034_triplet,l1_de_2103.11320_0034,2103.11320,figure+table,discrepancy_analysis,in_doc_swap,0.4706,2103.11320,,,,,
l1_de_2103.11320_0034_triplet,l1_de_2103.11320_0034,2103.11320,figure+table,discrepancy_analysis,same_type_hard_plus,0.2029,1409.0575,1409.0575_xl_0004,0.1515,0.213,0.0,0.0893
l1_de_2103.11320_0035_triplet,l1_de_2103.11320_0035,2103.11320,figure+table,causal_explanation,in_doc_swap,0.4706,2103.11320,,,,,
l1_de_2103.11320_0035_triplet,l1_de_2103.11320_0035,2103.11320,figure+table,causal_explanation,same_type_hard_plus,0.2022,1910.10872,1910.10872_xl_0103,0.1562,0.2041,0.0,0.0714
l1_de_2109.03952_0036_triplet,l1_de_2109.03952_0036,2109.03952,figure+table,causal_explanation,in_doc_swap,0.1765,2109.03952,,,,,
l1_de_2109.03952_0036_triplet,l1_de_2109.03952_0036,2109.03952,figure+table,causal_explanation,same_type_hard_plus,0.1871,1409.0575,1409.0575_xl_0003,0.1515,0.1712,0.0,0.0
l1_de_2109.03952_0037_triplet,l1_de_2109.03952_0037,2109.03952,figure+table,discrepancy_analysis,in_doc_swap,0.2105,2109.03952,,,,,
l1_de_2109.03952_0037_triplet,l1_de_2109.03952_0037,2109.03952,figure+table,discrepancy_analysis,same_type_hard_plus,0.2461,1804.06876,1804.06876_xl_0057,0.2414,0.1724,0.0357,0.0526
l1_de_1804.09301_0038_triplet,l1_de_1804.09301_0038,1804.09301,figure+table,causal_explanation,in_doc_swap,0.2432,1804.09301,,,,,
l1_de_1804.09301_0038_triplet,l1_de_1804.09301_0038,1804.09301,figure+table,causal_explanation,same_type_hard_plus,0.2342,2109.03952,2109.03952_xl_0161,0.2121,0.2222,0.0,0.0588
l1_de_1804.09301_0039_triplet,l1_de_1804.09301_0039,1804.09301,figure+table,discrepancy_analysis,in_doc_swap,0.2432,1804.09301,,,,,
l1_de_1804.09301_0039_triplet,l1_de_1804.09301_0039,1804.09301,figure+table,discrepancy_analysis,same_type_hard_plus,0.1783,1611.07438,1611.07438_xl_0014,0.0789,0.2353,0.0435,0.0909
l1_de_2109.03952_0040_triplet,l1_de_2109.03952_0040,2109.03952,figure+table,causal_explanation,in_doc_swap,0.22,2109.03952,,,,,
l1_de_2109.03952_0040_triplet,l1_de_2109.03952_0040,2109.03952,figure+table,causal_explanation,same_type_hard_plus,0.2342,1804.09301,1804.09301_xl_0062,0.2121,0.2222,0.0,0.0588
l1_de_2109.03952_0041_triplet,l1_de_2109.03952_0041,2109.03952,figure+table,discrepancy_analysis,in_doc_swap,0.22,2109.03952,,,,,
l1_de_2109.03952_0041_triplet,l1_de_2109.03952_0041,2109.03952,figure+table,discrepancy_analysis,same_type_hard_plus,0.2496,1810.08683,1810.08683_xl_0082,0.2143,0.2385,0.0333,0.0882
l1_de_1804.06876_0042_triplet,l1_de_1804.06876_0042,1804.06876,figure+table,causal_explanation,in_doc_swap,0.1964,1804.06876,,,,,
l1_de_1804.06876_0042_triplet,l1_de_1804.06876_0042,1804.06876,figure+table,causal_explanation,same_type_hard_plus,0.2436,1809.02208,1809.02208_xl_0072,0.1724,0.2124,0.1538,0.0606
l1_de_1804.06876_0043_triplet,l1_de_1804.06876_0043,1804.06876,figure+table,hypothesis_verification,in_doc_swap,0.2045,1804.06876,,,,,
l1_de_1804.06876_0043_triplet,l1_de_1804.06876_0043,1804.06876,figure+table,hypothesis_verification,same_type_hard_plus,0.1737,2103.11320,2103.11320_xl_0126,0.1053,0.18,0.037,0.0294
l1_de_1809.02208_0044_triplet,l1_de_1809.02208_0044,1809.02208,figure+table,causal_explanation,in_doc_swap,0.3714,1809.02208,,,,,
l1_de_1809.02208_0044_triplet,l1_de_1809.02208_0044,1809.02208,figure+table,causal_explanation,same_type_hard_plus,0.1971,1801.04385,1801.04385_xl_0032,0.1143,0.2346,0.0435,0.0952
l1_de_1809.02208_0045_triplet,l1_de_1809.02208_0045,1809.02208,figure+table,discrepancy_analysis,in_doc_swap,0.3704,1809.02208,,,,,
l1_de_1809.02208_0045_triplet,l1_de_1809.02208_0045,1809.02208,figure+table,discrepancy_analysis,same_type_hard_plus,0.2188,1707.09457,1707.09457_xl_0027,0.1515,0.2537,0.0,0.1667
l1_de_1409.0575_0046_triplet,l1_de_1409.0575_0046,1409.0575,figure+table,causal_explanation,in_doc_swap,0.2963,1409.0575,,,,,
l1_de_1409.0575_0046_triplet,l1_de_1409.0575_0046,1409.0575,figure+table,causal_explanation,same_type_hard_plus,0.2369,1903.08136,1903.08136_xl_0088,0.2414,0.1887,0.0,0.0
l1_de_1409.0575_0047_triplet,l1_de_1409.0575_0047,1409.0575,figure+table,discrepancy_analysis,in_doc_swap,0.2727,1409.0575,,,,,
l1_de_1409.0575_0047_triplet,l1_de_1409.0575_0047,1409.0575,figure+table,discrepancy_analysis,same_type_hard_plus,0.2317,1903.08136,1903.08136_xl_0088,0.2258,0.1905,0.0,0.0256
l1_de_1603.07025_0048_triplet,l1_de_1603.07025_0048,1603.07025,figure+table,discrepancy_analysis,in_doc_swap,0.4146,1603.07025,,,,,
l1_de_1603.07025_0048_triplet,l1_de_1603.07025_0048,1603.07025,figure+table,discrepancy_analysis,same_type_hard_plus,0.1637,1809.02208,1809.02208_xl_0069,0.0882,0.1892,0.0294,0.0196
l1_de_1603.07025_0049_triplet,l1_de_1603.07025_0049,1603.07025,figure+table,hypothesis_verification,in_doc_swap,0.3171,1603.07025,,,,,
l1_de_1603.07025_0049_triplet,l1_de_1603.07025_0049,1603.07025,figure+table,hypothesis_verification,same_type_hard_plus,0.1492,1801.04385,1801.04385_xl_0031,0.0857,0.2091,0.0526,0.0
l1_de_2005.07293_0050_triplet,l1_de_2005.07293_0050,2005.07293,figure+table,causal_explanation,in_doc_swap,0.3913,2005.07293,,,,,
l1_de_2005.07293_0050_triplet,l1_de_2005.07293_0050,2005.07293,figure+table,causal_explanation,same_type_hard_plus,0.2463,1409.0575,1409.0575_xl_0005,0.2059,0.2182,0.0588,0.1071
l1_de_2005.07293_0051_triplet,l1_de_2005.07293_0051,2005.07293,figure+table,discrepancy_analysis,in_doc_swap,0.9143,2005.07293,,,,,
l1_de_2005.07293_0051_triplet,l1_de_2005.07293_0051,2005.07293,figure+table,discrepancy_analysis,same_type_hard_plus,0.2282,2103.11320,2103.11320_xl_0126,0.1562,0.2568,0.0333,0.1429
l1_de_2005.07293_0052_triplet,l1_de_2005.07293_0052,2005.07293,figure+table,discrepancy_analysis,in_doc_swap,0.3889,2005.07293,,,,,
l1_de_2005.07293_0052_triplet,l1_de_2005.07293_0052,2005.07293,figure+table,discrepancy_analysis,same_type_hard_plus,0.2117,2103.11320,2103.11320_xl_0127,0.0769,0.2759,0.1379,0.1714
l1_de_2005.07293_0053_triplet,l1_de_2005.07293_0053,2005.07293,figure+table,hypothesis_verification,in_doc_swap,0.3889,2005.07293,,,,,
l1_de_2005.07293_0053_triplet,l1_de_2005.07293_0053,2005.07293,figure+table,hypothesis_verification,same_type_hard_plus,0.1872,1808.08166,1808.08166_xl_0067,0.0938,0.1948,0.1364,0.0
l1_de_1809.02208_0054_triplet,l1_de_1809.02208_0054,1809.02208,figure+table,causal_explanation,in_doc_swap,0.4103,1809.02208,,,,,
l1_de_1809.02208_0054_triplet,l1_de_1809.02208_0054,1809.02208,figure+table,causal_explanation,same_type_hard_plus,0.1931,1804.09301,1804.09301_xl_0062,0.1471,0.25,0.05,0.0303
l1_de_1809.02208_0055_triplet,l1_de_1809.02208_0055,1809.02208,figure+table,discrepancy_analysis,in_doc_swap,0.8529,1809.02208,,,,,
l1_de_1809.02208_0055_triplet,l1_de_1809.02208_0055,1809.02208,figure+table,discrepancy_analysis,same_type_hard_plus,0.202,1804.06876,1804.06876_xl_0057,0.1786,0.1909,0.0741,0.0303
l1_de_1409.0575_0056_triplet,l1_de_1409.0575_0056,1409.0575,figure+table,causal_explanation,in_doc_swap,0.4324,1409.0575,,,,,
l1_de_1409.0575_0056_triplet,l1_de_1409.0575_0056,1409.0575,figure+table,causal_explanation,same_type_hard_plus,0.2473,1602.05352,1602.05352_xl_0007,0.2353,0.1776,0.0571,0.0444
l1_de_1409.0575_0057_triplet,l1_de_1409.0575_0057,1409.0575,figure+table,discrepancy_analysis,in_doc_swap,0.4444,1409.0575,,,,,
l1_de_1409.0575_0057_triplet,l1_de_1409.0575_0057,1409.0575,figure+table,discrepancy_analysis,same_type_hard_plus,0.2231,1910.10872,1910.10872_xl_0101,0.2121,0.1651,0.0,0.04
l1_de_1611.07438_0058_triplet,l1_de_1611.07438_0058,1611.07438,figure+table,causal_explanation,in_doc_swap,0.381,1611.07438,,,,,
l1_de_1611.07438_0058_triplet,l1_de_1611.07438_0058,1611.07438,figure+table,causal_explanation,same_type_hard_plus,0.2039,1801.04385,1801.04385_xl_0030,0.1143,0.2941,0.0,0.119
l1_de_1611.07438_0059_triplet,l1_de_1611.07438_0059,1611.07438,figure+table,hypothesis_verification,in_doc_swap,0.5,1611.07438,,,,,
l1_de_1611.07438_0059_triplet,l1_de_1611.07438_0059,1611.07438,figure+table,hypothesis_verification,same_type_hard_plus,0.1842,2103.11320,2103.11320_xl_0127,0.0952,0.2,0.0857,0.0513
l1_de_1904.03035_0060_triplet,l1_de_1904.03035_0060,1904.03035,figure+table,causal_explanation,in_doc_swap,0.3421,1904.03035,,,,,
l1_de_1904.03035_0060_triplet,l1_de_1904.03035_0060,1904.03035,figure+table,causal_explanation,same_type_hard_plus,0.1948,1910.10872,1910.10872_xl_0106,0.1667,0.2152,0.0,0.1176
l1_de_1904.03035_0061_triplet,l1_de_1904.03035_0061,1904.03035,figure+table,discrepancy_analysis,in_doc_swap,0.3421,1904.03035,,,,,
l1_de_1904.03035_0061_triplet,l1_de_1904.03035_0061,1904.03035,figure+table,discrepancy_analysis,same_type_hard_plus,0.1765,2103.11320,2103.11320_xl_0135,0.1389,0.2021,0.0,0.1111
l1_de_2109.03952_0062_triplet,l1_de_2109.03952_0062,2109.03952,figure+table,causal_explanation,in_doc_swap,0.2105,2109.03952,,,,,
l1_de_2109.03952_0062_triplet,l1_de_2109.03952_0062,2109.03952,figure+table,causal_explanation,same_type_hard_plus,0.2303,1805.11202,1805.11202_xl_0064,0.1389,0.241,0.15,0.0645
l1_de_2109.03952_0063_triplet,l1_de_2109.03952_0063,2109.03952,figure+table,discrepancy_analysis,in_doc_swap,0.1765,2109.03952,,,,,
l1_de_2109.03952_0063_triplet,l1_de_2109.03952_0063,2109.03952,figure+table,discrepancy_analysis,same_type_hard_plus,0.2255,1910.10872,1910.10872_xl_0104,0.1389,0.266,0.0909,0.0909
l1_de_2005.07293_0064_triplet,l1_de_2005.07293_0064,2005.07293,figure+table,discrepancy_analysis,in_doc_swap,0.8824,2005.07293,,,,,
l1_de_2005.07293_0064_triplet,l1_de_2005.07293_0064,2005.07293,figure+table,discrepancy_analysis,same_type_hard_plus,0.2005,1808.08166,1808.08166_xl_0067,0.1429,0.191,0.0526,0.0435
l1_de_2005.07293_0065_triplet,l1_de_2005.07293_0065,2005.07293,figure+table,hypothesis_verification,in_doc_swap,0.383,2005.07293,,,,,
l1_de_2005.07293_0065_triplet,l1_de_2005.07293_0065,2005.07293,figure+table,hypothesis_verification,same_type_hard_plus,0.1876,1905.10674,1905.10674_xl_0092,0.1818,0.2198,0.0741,0.1034
l1_de_2005.07293_0066_triplet,l1_de_2005.07293_0066,2005.07293,figure+table,discrepancy_analysis,in_doc_swap,0.4444,2005.07293,,,,,
l1_de_2005.07293_0066_triplet,l1_de_2005.07293_0066,2005.07293,figure+table,discrepancy_analysis,same_type_hard_plus,0.1903,1409.0575,1409.0575_xl_0004,0.0811,0.2273,0.0833,0.1379
l1_de_2005.07293_0067_triplet,l1_de_2005.07293_0067,2005.07293,figure+table,hypothesis_verification,in_doc_swap,0.4444,2005.07293,,,,,
l1_de_2005.07293_0067_triplet,l1_de_2005.07293_0067,2005.07293,figure+table,hypothesis_verification,same_type_hard_plus,0.2066,1808.08166,1808.08166_xl_0067,0.1212,0.2297,0.08,0.0833
l1_de_2103.11320_0068_triplet,l1_de_2103.11320_0068,2103.11320,figure+table,hypothesis_verification,in_doc_swap,0.2667,2103.11320,,,,,
l1_de_2103.11320_0068_triplet,l1_de_2103.11320_0068,2103.11320,figure+table,hypothesis_verification,same_type_hard_plus,0.1909,1602.05352,1602.05352_xl_0007,0.0789,0.2386,0.075,0.1471
l1_de_2103.11320_0069_triplet,l1_de_2103.11320_0069,2103.11320,figure+table,discrepancy_analysis,in_doc_swap,0.8438,2103.11320,,,,,
l1_de_2103.11320_0069_triplet,l1_de_2103.11320_0069,2103.11320,figure+table,discrepancy_analysis,same_type_hard_plus,0.2298,1707.09457,1707.09457_xl_0027,0.1765,0.2603,0.0,0.125
l1_de_2103.11320_0070_triplet,l1_de_2103.11320_0070,2103.11320,figure+table,discrepancy_analysis,in_doc_swap,0.4048,2103.11320,,,,,
l1_de_2103.11320_0070_triplet,l1_de_2103.11320_0070,2103.11320,figure+table,discrepancy_analysis,same_type_hard_plus,0.2179,1804.09301,1804.09301_xl_0059,0.1765,0.2188,0.0,0.0976
l1_de_2103.11320_0071_triplet,l1_de_2103.11320_0071,2103.11320,figure+table,causal_explanation,in_doc_swap,0.8438,2103.11320,,,,,
l1_de_2103.11320_0071_triplet,l1_de_2103.11320_0071,2103.11320,figure+table,causal_explanation,same_type_hard_plus,0.2177,1905.10674,1905.10674_xl_0093,0.2857,0.1735,0.0417,0.0256
l1_de_2103.11320_0072_triplet,l1_de_2103.11320_0072,2103.11320,figure+table,causal_explanation,in_doc_swap,0.8438,2103.11320,,,,,
l1_de_2103.11320_0072_triplet,l1_de_2103.11320_0072,2103.11320,figure+table,causal_explanation,same_type_hard_plus,0.2059,1801.04385,1801.04385_xl_0031,0.1429,0.1855,0.0714,0.0769
l1_de_2103.11320_0073_triplet,l1_de_2103.11320_0073,2103.11320,figure+table,discrepancy_analysis,in_doc_swap,0.8438,2103.11320,,,,,
l1_de_2103.11320_0073_triplet,l1_de_2103.11320_0073,2103.11320,figure+table,discrepancy_analysis,same_type_hard_plus,0.2421,2005.07293,2005.07293_xl_0123,0.2308,0.2069,0.0,0.0816
l1_de_1611.07509_0074_triplet,l1_de_1611.07509_0074,1611.07509,figure+table,causal_explanation,in_doc_swap,0.2857,1611.07509,,,,,
l1_de_1611.07509_0074_triplet,l1_de_1611.07509_0074,1611.07509,figure+table,causal_explanation,same_type_hard_plus,0.1901,1805.11202,1805.11202_xl_0064,0.1429,0.2254,0.0645,0.04
l1_de_1611.07509_0075_triplet,l1_de_1611.07509_0075,1611.07509,figure+table,discrepancy_analysis,in_doc_swap,0.2857,1611.07509,,,,,
l1_de_1611.07509_0075_triplet,l1_de_1611.07509_0075,1611.07509,figure+table,discrepancy_analysis,same_type_hard_plus,0.1749,1903.08136,1903.08136_xl_0087,0.0857,0.2353,0.0833,0.1429
l1_de_1901.10436_0076_triplet,l1_de_1901.10436_0076,1901.10436,figure+table,causal_explanation,in_doc_swap,0.5185,1901.10436,,,,,
l1_de_1901.10436_0076_triplet,l1_de_1901.10436_0076,1901.10436,figure+table,causal_explanation,same_type_hard_plus,0.2122,1707.09457,1707.09457_xl_0028,0.1667,0.2208,0.0,0.0833
